age;height;weight;male
63;151.765;47.8256065;1
63;139.7;36.4858065;0
65;136.525;31.864838;0
41;156.845;53.0419145;1
51;145.415;41.276872;0
35;163.83;62.992589;1
32;149.225;38.2434755;0
27;168.91;55.4799715;1
19;147.955;34.869885;0
54;165.1;54.487739;1
47;154.305;49.89512;0
66;151.13;41.220173;1
73;144.78;36.0322145;0
20;149.9;47.7;0
65.3;150.495;33.849303;0
36;163.195;48.5626935;1
44;157.48;42.3258035;1
31;143.9418;38.3568735;0
12;121.92;19.617854;1
8;105.41;13.947954;0
6.5;86.36;10.489315;0
39;161.29;48.987936;1
29;156.21;42.7226965;0
13;129.54;23.586784;1
7;109.22;15.989118;0
56;146.4;35.493574;1
45;148.59;37.9032815;0
19;147.32;35.4652245;0
17;137.16;27.328918;1
16;125.73;22.6796;0
11;114.3;17.860185;1
29;147.955;40.312989;1
30;161.925;55.111428;1
24;146.05;37.5063885;0
35;146.05;38.498621;0
33;152.7048;46.606578;0
27;142.875;38.838815;0
32;142.875;35.5786225;0
36;147.955;47.400364;0
24;160.655;47.8823055;1
30;151.765;49.4131785;1
24;162.8648;49.384829;1
52;171.45;56.5572525;1
42;147.32;39.12231;0
19;147.955;49.89512;0
17;144.78;28.803092;0
8;121.92;20.41164;1
12;128.905;23.359988;0
5;97.79;13.267566;0
55;154.305;41.2485225;1
43;143.51;38.55532;0
20;146.7;42.4;1
18;157.48;44.6504625;1
13;127;22.0105518;1
9;110.49;15.422128;0
5;97.79;12.757275;0
42;165.735;58.5984165;1
44;152.4;46.719976;0
60;141.605;44.22522;0
20;158.8;50.9;0
37;155.575;54.317642;0
50;164.465;45.8978405;1
50;151.765;48.024053;0
31;161.29;52.219779;1
25;154.305;47.62716;0
23;145.415;45.642695;0
52;145.415;42.410852;0
79.3;152.4;36.4858065;1
35;163.83;55.9335635;1
27;144.145;37.194544;0
13;129.54;24.550667;1
14;129.54;25.627948;0
38;153.67;48.307548;1
39;142.875;37.3362915;0
12;146.05;29.596878;0
30;167.005;47.173568;1
24;158.4198;47.286966;0
0.599999999999909;91.44;12.927372;1
51;165.735;57.549485;1
46;149.86;37.931631;0
17;147.955;41.900561;0
12;137.795;27.5840635;0
22;154.94;47.2019175;0
29;160.9598;43.204638;1
38;161.925;50.2636635;1
30;147.955;39.3774555;0
6;113.665;17.463292;1
45;159.385;50.689;1
47;148.59;39.4341545;0
79;136.525;36.28736;0
45;158.115;46.266384;1
54;144.78;42.2691045;0
31;156.845;47.62716;1
23;179.07;55.7067675;1
9;118.745;18.824068;0
41;170.18;48.5626935;1
23;146.05;42.807745;0
36;147.32;35.0683315;0
5;113.03;17.8885345;1
30;162.56;56.755699;0
12;133.985;27.442316;1
34;152.4;51.255896;0
44;160.02;47.230267;1
43;149.86;40.936678;0
73.3;142.875;32.715323;0
38;167.005;57.0675435;1
43;159.385;42.977842;1
33;154.94;39.9444455;0
16;148.59;32.4601775;0
11;111.125;17.123098;1
6;111.76;16.499409;1
35;162.56;45.9545395;1
29;152.4;41.106775;0
12;124.46;18.257078;0
9;111.76;15.081934;1
7.59999999999991;86.36;11.4815475;1
58;170.18;47.5988105;1
53;146.05;37.5063885;0
51;159.385;45.019006;1
48;151.13;42.2691045;0
29;160.655;54.8562825;1
41;169.545;53.523856;1
81.75;158.75;52.1914295;1
1;74.295;9.752228;1
35;149.86;42.410852;0
46;153.035;49.5832755;0
5;96.52;13.097469;1
29;161.925;41.730464;1
42;162.56;56.018612;1
27;149.225;42.1557065;0
8;116.84;19.391058;0
6;100.076;15.081934;1
22;163.195;53.0986135;1
43;161.925;50.235314;1
53;145.415;42.52425;0
43;163.195;49.101334;1
41;151.13;38.498621;0
50;150.495;49.8100715;0
15;141.605;29.313383;1
33;170.815;59.760746;1
3;91.44;11.7083435;0
62;157.48;47.9390045;1
49;152.4;39.292407;0
17;149.225;38.1300775;1
12;129.54;21.999212;0
22;147.32;36.8826995;0
29;145.415;42.127357;0
8;121.92;19.787951;0
5;113.665;16.782904;1
33;157.48;44.565414;1
34;154.305;47.853956;0
12;120.65;21.1770765;0
7;115.6;18.9;1
42;167.005;55.1964765;1
40;142.875;32.998818;0
27;152.4;40.879979;0
3;96.52;13.267566;0
25;160;51.2;1
29;159.385;49.044635;1
45;149.86;53.4388075;0
26;160.655;54.090846;1
45;160.655;55.3665735;1
45;149.225;42.240755;0
11;125.095;22.3677555;0
85.5999999999999;140.97;40.936678;0
26;154.94;49.6966735;1
24;141.605;44.338618;0
57;160.02;45.9545395;1
22;150.1648;41.95726;0
24;155.575;51.482692;0
6;103.505;12.757275;0
4;94.615;13.0124205;0
21;156.21;44.111822;0
79;153.035;32.205032;0
50;167.005;56.755699;1
40;149.86;52.673371;0
64;147.955;36.4858065;0
32;159.385;48.8461885;1
38.7;161.925;56.9541455;1
26;155.575;42.0990075;0
63;159.385;50.178615;1
62;146.685;46.549879;0
22;172.72;61.80191;1
41;166.37;48.987936;1
19;141.605;31.524644;1
17;142.875;32.205032;0
14;133.35;23.756881;0
9;127.635;24.4089195;1
7;119.38;21.5172705;1
74;151.765;35.2951275;0
41;156.845;45.642695;1
33;148.59;43.885026;0
53;157.48;45.5576465;0
18;149.86;39.008912;0
37;147.955;41.163474;0
6;102.235;13.1258185;0
61;153.035;45.245802;0
44;160.655;53.637254;1
35;149.225;52.3048275;0
7;114.3;18.3421265;1
4;100.965;13.7495075;1
23;138.43;39.0939605;0
4;91.44;12.530479;1
55;162.56;45.699394;1
53;149.225;40.3980375;0
59;158.75;51.482692;1
57;149.86;38.668718;0
35;158.115;39.235708;1
29;156.21;44.338618;0
62;148.59;39.519203;1
18;143.51;31.071052;0
51;154.305;46.776675;0
14;131.445;22.509503;0
19;157.48;40.6248335;1
